Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1636570677.0887802,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.112113,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.1372125,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.1621687,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.187218,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.2121875,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.237205,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.262943,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.2878778,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.3121572,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.337366,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.3621356,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.3873937,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.4121606,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.4372067,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.462115,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.487134,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.512225,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.5371757,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.5621629,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.5891824,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.612549,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.6371486,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.6621468,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.687257,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.7120998,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.7373717,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.762162,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.7872946,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.8122041,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.8373134,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.8622005,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.887235,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.9122944,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.9377012,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.9623203,0.0,0.0,0.0,0.0,0.0,0.0
1636570677.9872854,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.012193,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.037397,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.0632513,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.0872784,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.112136,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.1372058,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.1621096,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.1873581,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.2122486,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.237165,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.2621472,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.2872186,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.3122456,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.337303,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.362194,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.38728,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.4129636,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.437139,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.4621596,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.4872775,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.5121508,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.5372667,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.562145,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.5874279,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.6121004,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.6372163,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.6635158,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.6873662,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.7121475,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.7372248,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.7621996,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.7872598,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.8122294,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.837201,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.8621929,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.8873873,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.9122674,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.9372423,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.9621222,0.0,0.0,0.0,0.0,0.0,0.0
1636570678.987237,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.012264,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.037242,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.0621786,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.088967,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.1121366,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.1372313,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.1622207,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.1871266,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.212207,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.2371466,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.2622018,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.2871566,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.3121297,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.3373005,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.3621264,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.3873298,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.412123,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.437247,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.4621544,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.487411,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.5121944,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.537096,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.5621178,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.5874236,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.6122108,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.637134,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.6621299,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.6872532,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.712282,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.7372139,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.7621121,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.7891452,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.812259,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.83717,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.862133,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.8872554,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.9122918,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.93719,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.9621074,0.0,0.0,0.0,0.0,0.0,0.0
1636570679.98719,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.0122225,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.0371997,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.0622156,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.0870938,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.1121638,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.1371703,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.1621974,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.1872702,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.212176,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.2372036,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.2620993,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.287315,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.312253,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.3381872,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.3621783,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.3880506,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.4123766,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.437178,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.4622014,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.4873466,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.5121896,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.537188,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.562225,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.5871677,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.612133,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.6371853,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.6621463,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.6873817,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.7122757,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.7371857,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.7620933,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.7891266,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.8122087,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.8371334,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.8624985,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.8872812,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.9121442,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.937143,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.9625313,0.0,0.0,0.0,0.0,0.0,0.0
1636570680.987251,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.0122125,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.0373604,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.062154,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.0874329,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.112236,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.137201,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.1621056,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.1888204,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.2121613,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.2371955,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.2622795,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.2872055,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.3122737,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.3372774,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.3621511,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.387206,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.4122837,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.4371274,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.4621177,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.487291,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.5121114,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.5373702,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.5621421,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.587216,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.6121495,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.6371477,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.6621478,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.6872523,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.7122607,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.7372155,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.7621694,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.787244,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.8122914,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.8371713,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.8621404,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.8871572,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.9122748,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.9371662,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.9621136,0.0,0.0,0.0,0.0,0.0,0.0
1636570681.9872415,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.0122273,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.0371504,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.0621066,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.0871065,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.1122544,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.1371977,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.1621163,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.1871789,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.2121563,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.2371526,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.262114,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.2873359,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.3121402,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.337221,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.3621564,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.3872063,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.412187,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.4371188,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.4621518,0.0,0.0,0.0,0.0,0.0,0.0
1636570682.4872642,0.0,0.0,0.0,0.0,0.0,0.0
